Street Address,Zipcode,City,State,Price,Yearly Rent,Payback Ratio (in years),Bedrooms,Bathrooms,Living Area,Home Type,Home Status,Days On Zillow,Monthly Rent Per SqFt,Yearly Rent Per SqFt
2352 Ellsworth Dr,37043,Clarksville,TN,360500,22548,15.988114245165868,3,3,1944,SINGLE_FAMILY,FOR_SALE,-1,0.97,11.6
125 Cottage Ln,37043,Clarksville,TN,386400,24096,16.03585657370518,3,3,1780,SINGLE_FAMILY,FOR_SALE,-1,1.13,13.54
408 N Magnolia Dr,37042,Clarksville,TN,294900,18336,16.083115183246072,3,2,2136,SINGLE_FAMILY,FOR_SALE,-1,0.72,8.58
812 Jersey Dr,37043,Clarksville,TN,384900,23928,16.085757271815446,3,2,1685,SINGLE_FAMILY,FOR_SALE,-1,1.18,14.2
168 Inglewood Dr,37040,Clarksville,TN,213100,13164,16.18808872683075,2,1,816,SINGLE_FAMILY,FOR_SALE,-1,1.34,16.13
238 Rossview Rd,37043,Clarksville,TN,233600,14400,16.22222222222222,3,1,1522,SINGLE_FAMILY,FOR_SALE,-1,0.79,9.46
845 Glendale Dr,37043,Clarksville,TN,243400,15000,16.226666666666667,3,1,1350,SINGLE_FAMILY,FOR_SALE,-1,0.93,11.11
355 Erie Dr,37040,Clarksville,TN,263400,16200,16.25925925925926,3,2,1149,SINGLE_FAMILY,FOR_SALE,-1,1.17,14.1
184 Copperstone Dr,37043,Clarksville,TN,852900,51828,16.45635563787914,4,5,3700,SINGLE_FAMILY,FOR_SALE,-1,1.17,14.01
3 Lacy Ln,37043,Clarksville,TN,285700,17304,16.51063337956542,3,2,1195,SINGLE_FAMILY,FOR_SALE,-1,1.21,14.48
908 Roman St,37040,Clarksville,TN,396900,23940,16.57894736842105,4,2,1856,MULTI_FAMILY,FOR_SALE,-1,1.07,12.9
806 Rushing Dr,37042,Clarksville,TN,338600,20400,16.598039215686274,4,3,2013,SINGLE_FAMILY,FOR_SALE,-1,0.84,10.13
571 Christel Springs Dr,37043,Clarksville,TN,554700,33132,16.742122419413256,4,4,3248,SINGLE_FAMILY,FOR_SALE,-1,0.85,10.2
95 Reserves At Charleston Oaks,37042,Clarksville,TN,320300,19128,16.74508573818486,3,2,1503,SINGLE_FAMILY,FOR_SALE,-1,1.06,12.73
944 Norman St,37040,Clarksville,TN,489200,29052,16.83877185735922,6,4,2750,MULTI_FAMILY,FOR_SALE,-1,0.88,10.56
839 Peachers Mill Rd,37042,Clarksville,TN,307300,17976,17.095015576323988,3,2,1872,SINGLE_FAMILY,FOR_SALE,-1,0.8,9.6
427 Lillian Dr,37040,Clarksville,TN,300500,17400,17.270114942528735,4,2,3078,SINGLE_FAMILY,FOR_SALE,-1,0.47,5.65
4906 Albright Rd,37043,Clarksville,TN,669300,38664,17.310676598386095,3,3,4613,SINGLE_FAMILY,FOR_SALE,-1,0.7,8.38
1897 Shield Dr,37043,Clarksville,TN,568500,32400,17.546296296296298,4,3,3014,SINGLE_FAMILY,FOR_SALE,-1,0.9,10.75
121 Allenwood Dr,37043,Clarksville,TN,277700,15804,17.571500885851684,3,1,1310,SINGLE_FAMILY,FOR_SALE,-1,1.01,12.06
419 Highland Cir,37043,Clarksville,TN,230800,12600,18.317460317460316,3,1,1523,SINGLE_FAMILY,FOR_SALE,-1,0.69,8.27
95 Airport Rd,37042,Clarksville,TN,324000,15696,20.642201834862384,3,1,1768,SINGLE_FAMILY,FOR_SALE,-1,0.74,8.88
1 Proctor Dr,37043,Clarksville,TN,399500,14568,27.423119165293794,4,2,1248,MULTI_FAMILY,FOR_SALE,-1,0.97,11.67
